Year,Month,Date,Hours,Minutes,Name,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Damage
1990,11,6,18,45,"IRAN: S, DARAB",28.251,55.462,11,6.7,22,100,232.3
1990,11,15,2,34,"INDONESIA: N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457,48,6.8,1,32,2.1
1990,12,13,0,24,ITALY: SICILY: CARLENTINI,37.3,15.438,11,5.3,19,200,500
1990,12,13,3,1,"TAIWAN: HUALIEN, TAIPEI",23.916,121.636,12,6.2,2,3,
1990,12,21,6,57,"GREECE: EDHESSA, KILKIS",41.004,22.3,13,5.9,1,60,
1990,12,22,17,27,"COSTA RICA: ALAJUELA, SANTIAGO DE PURISCAL",9.869,-84.302,17,5.7,2,350,19.5
1991,1,31,23,3,"AFGHANISTAN: BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR",35.993,70.423,142,6.4,848,200,36
1991,4,5,4,19,"PERU: RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",-5.982,-77.094,20,6.7,53,252,
1991,4,22,21,56,"COSTA RICA: LIMON, PANDORA; PANAMA",9.685,-83.073,10,7.6,87,895,510
1991,4,24,10,54,TURKEY: ERZURUM PROVINCE,39.597,41.118,33,4.5,1,3,
1991,6,15,0,59,"GEORGIA: DZHAVA, TSKHINVALI, OSSETIA",42.461,44.009,9,6.1,8,200,
1991,6,28,14,43,"CALIFORNIA: ARCADIA, GLENDALE, LOS ANGELES",34.262,-118.002,11,5.1,2,104,33.5
1991,7,4,11,43,"INDONESIA: TIMOR: KALABAHI, DILI",-8.099,124.681,29,6.5,28,181,7.7
1991,7,12,10,42,"ROMANIA: BANLOC, DETA, TIMISOARA",45.364,21.057,11,5.6,2,30,
1991,7,23,19,44,"PERU: MACA, CHIVAY, YANQUE",-15.679,-71.574,5,4.7,92,30,
1991,9,18,9,48,"GUATEMALA: GUATEMALA CITY, PACHUTA, SOLOLA",14.646,-90.986,5,6.2,25,200,
1991,10,19,21,23,"INDIA: CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",30.78,78.774,10,7,2000,1800,60
1991,11,22,0,40,YEMEN: WESTERN ARABIAN PENINSULA,13.887,44.068,10,4.7,11,40,
1991,11,28,17,19,"IRAN: RUDBAR, RASHT",36.924,49.603,16,5,1,70,
1992,3,4,11,57,IRAN: LORDEGAN ARDAL AREA,31.726,50.778,18,4.6,6,50,
1992,3,13,17,18,TURKEY: ERZINCAN,39.71,39.605,27,6.9,653,2000,750
1992,4,13,1,20,"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG",51.153,5.798,21,5.2,1,45,100
1992,5,20,12,20,"PAKISTAN: PESHAWAR, KOHAT, SHAKKAR KHEL",33.377,71.317,16,6,36,100,
1992,6,28,11,57,"CALIFORNIA: LANDERS, YUCCA VALLEY",34.201,-116.436,1,7.6,3,400,92
1992,8,28,0,50,PAKISTAN: KALAT,29.087,66.74,9,5.5,4,200,
1992,9,8,0,38,IRAN: FIRUZABAD,29.134,52.187,18,4.7,1,11,
1992,9,11,3,57,CONGO: KABALO,-6.087,26.651,11,7,8,37,
1992,10,12,13,9,EGYPT: CAIRO,29.778,31.144,22,5.3,545,6512,1200
1992,10,18,15,11,"COLOMBIA: MURINDO, APARTADO, MEDELLIN",7.075,-76.862,10,7.4,11,115,
1992,12,12,5,29,"INDONESIA: FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8,1000,500,100
1993,3,12,14,1,FUTUNA ISLAND,-14.385,-178.252,10,6.4,5,201,
1993,3,20,14,51,CHINA: TIBET (XIZANG PROVINCE): NGAMRING,29.084,87.333,12,6.2,2,3,
